projectCategory.description
struts.apache.org
Xalan Related Projects
""
Axis and Axis2 related projects
Apache Directory Project Category
Apache Groovy project
Jackrabbit related projects
Retired projects - These projects have no active community and are read-only.
Logging related projects
Apache Commons components
XML related projects
James related projects
XMLBeans related projects
Formatting Objects Processor
ActiveMQ
Apache Tapestry related projects
Apache Portals
DB related projects
MINA related projects
Apache Maven related projects
Apache Nutch
Gump related projects
httpd and its related projects
Apache Ant related projects
ServiceMix Enterprise Service Bus
Web services projects
OSGi container projects
Apache Velocity related projects
C++ Standard Library projects
Incubator related projects
Lucene-related projects
Apache Synapse ESB related projects
Apache Continuum Project
Click related projects
Apache MyFaces related projects
Apache HttpComponents Project
The Open for Business Project
Apache J2EE project
Scalable Distributed Computing
CXF related projects
Apache Qpid and related projects
Apache UIMA
Apache Wicket related projects
Apache Tika
""
Apache Sling related projects
Apache JSPWiki related projects
Shindig related projects
CouchDB & related projects
Apache Mahout
Comprehend and audit software distributions
Apache ZooKeeper related
General ASF-wide projects.
Thrift related projects
Apache Etch related projects
Apache ESME related projects
0
OpenWebBeans Project
Apache Tomcat related projects
Pivot related projects
Apache PDFBox projects
Apache Shiro related projects
Apache Ace related
a serialization system
Apache Aries
Libcloud and related projects
Traffic Server related
ManifoldCF related projects.
BVal related
Apache Karaf related
Apache Flume related projects
DeltaCloud
Apache Causeway related 
Apache Jena related projects
Apache OpenNLP related projects
Apache MADlib
BookKeeper
Apache Kafka projects
Apache Mesos related
Apache Oozie related projects
BigTop related
Apache MRUnit related projects
Apache Gora related projects
Apache Cordova related projects
Apache Openmeetings related
Apache Devicemap related.
Apache Deltaspike related projects
Spatial Information Systems
Apache Daffodil
Syncope related projects
Apache Helix projects
Onami
Impala
Apache Cloudstack related projects
Apache TomEE related (Including former OpenEJB)
Apache Tez related 
Apache jclouds projects
 bootDevice=true
Apache Stratos related
 vCores:0> cluster=<memory:12288
Apache Samza
Apache Drill Projects
Olingo related projects
Kudu
Apache Aurora
Apache Phoenix
Apache Brooklyn project
Apache Flink
Apache Ranger Project
Apache NiFi
Kylin
Apache Ignite
Apache Calcite
Apache Zeppelin
Polygene
Apache Orc
Myriad
Apache Singa Projects
Taverna
Apache Lucy Related Projects
Apache Whimsy Project
Apache Yetus project
Apache Storm Related
Apache Freemarker
Apache Geode Project
Apache Rya
Apache SystemDS
Apache STeVe
Apache Mnemonic
Core banking as a platform
CarbonData
Apache Flagon
2015-11-18 21:25:11
Apache Guacamole
DistributedLog
Apache Ratis related
Apache Unomi
Apache NetBeans related
Apache Gobblin
g=120
Apache Ozone
Apache Beam Project
g=207
Apache Pinot
Apache Superset
Apache ECharts
Apache Cassandra related projects
Apache Datasketches
Apache Sedona
g=110
