project.name
Struts 2
XalanC
Apache Roller
Axis
Directory Naming
Groovy
XWork
Jackrabbit Content Repository
iBatis for Java [READ ONLY]
Subversion
iBatis for .NET
Log4cxx
jUDDI (Retired)
Commons Jelly
Axis-C++
Xerces-C++
Beehive
Batik
HiveMind
James Server
Jetspeed 2 (Retired)
XMLBeans
Forrest (Retired)
FOP
ActiveMQ Classic
AltRMI
Xerces2-J
Graffito
Cayenne
Tapestry
Pluto
Derby
Cactus
Excalibur Fortress
Mirae
Commons BCEL
MINA
Jetspeed (Retired)
ews
Log4net
OpenEJB
Maven Wagon
Pubscribe
Muse
WSRF
Nutch
Lucene4c
OJB
Directory ApacheDS
Gump
XalanJ2
ActiveCluster
WSRP4J
Excalibur Components
Apache Flex
JaxMe
mod_python
Agila
Directory
JDO
Portals
XML-RPC
Harmony
Ivy
Axis2
Addressing
ServiceMix
Avalon
WSS4J
Axis-WSIF
Portals Bridges (Retired)
Felix
Turbine
FtpServer
Click
TSIK
Velocity
C++ Standard Library
Velocity Tools
Cocoon (Retired)
Kandula
WADI
Axis2-C
Incubator
Tuscany
IvyDE (Retired)
Xerces-P
Maven
WS-Commons
James jSieve
Solr
Synapse
Maven Assembly Plugin
Maven Deploy Plugin (Moved to GitHub)
Maven Plugin Tools
ODE
Maven Archetype (Moved to GitHub Issues)
Maven Ant Plugin (RETIRED)
Maven Checkstyle Plugin
Maven Antrun Plugin
Maven Compiler Plugin (Moved to GitHub)
Maven EJB Plugin
Maven Eclipse Plugin (RETIRED)
Maven EAR Plugin
Maven Help Plugin
Maven Install Plugin (Moved to GitHub)
Maven JAR Plugin
Maven Javadoc Plugin
Maven PMD Plugin
Maven Project Info Reports Plugin (Moved to GitHub)
Maven RAR Plugin
Maven Resources Plugin
Maven Release Plugin
Maven Site Plugin
Maven WAR Plugin
Continuum
Maven SCM
Maven Changelog Plugin
Maven Surefire
Maven Source Plugin
Maven Dependency Plugin
Maven Changes Plugin
Maven Doxia
Click Eclipse
DdlUtils
MyFaces Core
MyFaces Tomahawk
MyFaces Tobago
Struts 1
Struts Sandbox
Torque
Shale
HttpComponents HttpClient
Commons BeanUtils
Commons Betwixt
Commons CLI
Commons Configuration
Commons DBCP
Commons Digester
Commons Discovery
Commons FeedParser
Commons FileUpload
Commons JXPath
Commons Net
Commons Primitives
Commons Resources
Commons Validator
